block_length,ci_low,ci_high,circular_shift_p,asset,model,seed,fold_id
25,,,,QQQ,random,42,monthly_expanding_01
40,,,,QQQ,random,42,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,historical_mean,42,monthly_expanding_01
25,,,,QQQ,historical_mean,42,monthly_expanding_01
40,,,,QQQ,historical_mean,42,monthly_expanding_01
20,0.31875,0.33088235294117646,1.0,QQQ,random_walk,42,monthly_expanding_01
25,,,,QQQ,random_walk,42,monthly_expanding_01
40,,,,QQQ,random_walk,42,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,buy_hold,42,monthly_expanding_01
25,,,,QQQ,buy_hold,42,monthly_expanding_01
40,,,,QQQ,buy_hold,42,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,momentum,42,monthly_expanding_01
25,,,,QQQ,momentum,42,monthly_expanding_01
40,,,,QQQ,momentum,42,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,moving_average,42,monthly_expanding_01
25,,,,QQQ,moving_average,42,monthly_expanding_01
40,,,,QQQ,moving_average,42,monthly_expanding_01
20,0.17647058823529413,0.1875,1.0,QQQ,logistic_regression,42,monthly_expanding_01
25,,,,QQQ,logistic_regression,42,monthly_expanding_01
40,,,,QQQ,logistic_regression,42,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,LightGBM,42,monthly_expanding_01
25,,,,QQQ,LightGBM,42,monthly_expanding_01
40,,,,QQQ,LightGBM,42,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,XGBoost,42,monthly_expanding_01
25,,,,QQQ,XGBoost,42,monthly_expanding_01
40,,,,QQQ,XGBoost,42,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,CatBoost,42,monthly_expanding_01
25,,,,QQQ,CatBoost,42,monthly_expanding_01
40,,,,QQQ,CatBoost,42,monthly_expanding_01
20,0.5119047619047619,0.5357142857142857,1.0,QQQ,random,11,monthly_expanding_02
25,,,,QQQ,random,11,monthly_expanding_02
40,,,,QQQ,random,11,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,historical_mean,11,monthly_expanding_02
25,,,,QQQ,historical_mean,11,monthly_expanding_02
40,,,,QQQ,historical_mean,11,monthly_expanding_02
20,0.6071428571428572,0.6309523809523809,1.0,QQQ,random_walk,11,monthly_expanding_02
25,,,,QQQ,random_walk,11,monthly_expanding_02
40,,,,QQQ,random_walk,11,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,buy_hold,11,monthly_expanding_02
25,,,,QQQ,buy_hold,11,monthly_expanding_02
40,,,,QQQ,buy_hold,11,monthly_expanding_02
20,0.6547619047619048,0.6785714285714286,1.0,QQQ,momentum,11,monthly_expanding_02
25,,,,QQQ,momentum,11,monthly_expanding_02
40,,,,QQQ,momentum,11,monthly_expanding_02
20,0.25,0.25,1.0,QQQ,moving_average,11,monthly_expanding_02
25,,,,QQQ,moving_average,11,monthly_expanding_02
40,,,,QQQ,moving_average,11,monthly_expanding_02
20,0.5119047619047619,0.5357142857142857,1.0,QQQ,logistic_regression,11,monthly_expanding_02
25,,,,QQQ,logistic_regression,11,monthly_expanding_02
40,,,,QQQ,logistic_regression,11,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,LightGBM,11,monthly_expanding_02
25,,,,QQQ,LightGBM,11,monthly_expanding_02
40,,,,QQQ,LightGBM,11,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,XGBoost,11,monthly_expanding_02
25,,,,QQQ,XGBoost,11,monthly_expanding_02
40,,,,QQQ,XGBoost,11,monthly_expanding_02
20,0.75,0.75,1.0,QQQ,CatBoost,11,monthly_expanding_02
25,,,,QQQ,CatBoost,11,monthly_expanding_02
40,,,,QQQ,CatBoost,11,monthly_expanding_02
20,0.44047619047619047,0.4880952380952381,1.0,QQQ,random,17,monthly_expanding_02
25,,,,QQQ,random,17,monthly_expanding_02
40,,,,QQQ,random,17,monthly_expanding_02
