run_id,asset,asset_class,model,feature_ablation,retraining_frequency,hyperparameter_variant,feature_count,feature_hash,balanced_accuracy,net_return_realistic,top_native_importance,shap_status
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,full,weekly_expanding,base,168,2338a5a4d6efca09,0.75,0.3598687699091707,volume_nvi:0.0840|momentum_ppo_signal:0.0821|volatility_10:0.0768|volatility_200:0.0721|trend_visual_ichimoku_b:0.0715|momentum_100_research:0.0981|volatility_10_research:0.0796|sma_200_research:0.0653|volume_sma_20:0.0613|volume_sma_50:0.0594,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,full,monthly_expanding,base,168,2338a5a4d6efca09,0.5,1.2840846575323805,trend_ema_fast:0.0906|volatility_kcl:0.0873|volatility_10_research:0.0870|trend_aroon_ind:0.0752|trend_adx:0.0684|volume_nvi:0.0871|volume_sma_100:0.0777|volume_adi:0.0672|volatility_dcm:0.0650|ema_200:0.0636,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,full,quarterly_expanding,base,168,2338a5a4d6efca09,0.5,0.03548894222436294,week_of_year:0.0951|volatility_10_research:0.0694|volume_sma_100:0.0673|adj_close:0.0581|trend_macd_signal:0.0558|volatility_200:0.0830|sma_10_research:0.0781|volume_sma_100:0.0665|sma_5:0.0586|volume_nvi:0.0582,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,full,monthly_rolling,base,168,2338a5a4d6efca09,0.5,1.2840846575323805,sma_200:0.0750|year:0.0748|volatility_dcl:0.0602|volatility_200:0.0591|low:0.0561|sma_200:0.1019|ema_100:0.0756|ema_200:0.0724|volume_sma_100:0.0710|volatility_bbl:0.0697,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,full,monthly_expanding,shallow_regularized,168,2338a5a4d6efca09,0.5,1.2840846575323805,volume_sma_em:0.1504|volume_sma_200:0.1321|trend_visual_ichimoku_b:0.1229|trend_adx:0.1218|momentum_100_research:0.1203|volume_adi:0.2009|volume_sma_em:0.1922|volume_sma_200:0.1575|volatility_100:0.1443|momentum_100_research:0.1437,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,full,monthly_expanding,deeper_neighbor,168,2338a5a4d6efca09,0.5,1.2840846575323805,week_of_year:0.0630|volatility_200:0.0589|momentum_ppo_signal:0.0578|volume_sma_100:0.0537|volume_sma_200:0.0514|volume_vpt:0.0635|volume_sma_100:0.0604|volume_nvi:0.0601|trend_macd:0.0575|volatility_100_research:0.0515,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,remove_momentum,monthly_expanding,base,144,b4fa6d5456d97861,0.5,1.2840846575323805,sma_5_research:0.0832|trend_macd:0.0778|volume_sma_200:0.0766|volatility_10_research:0.0755|volume_sma_em:0.0672|volatility_10:0.0640|volume_sma_100:0.0634|trend_ichimoku_a:0.0617|trend_macd_signal:0.0592|volatility_200:0.0579,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,remove_volatility,monthly_expanding,base,135,e995863ecdfac75e,0.5,1.2840846575323805,volume_nvi:0.1052|sma_10_research:0.0866|momentum_ppo_signal:0.0736|volume_sma_100:0.0571|volume_sma_em:0.0536|ema_200:0.0961|volume_nvi:0.0940|volume_sma_100:0.0729|volume_sma_em:0.0628|volume_adi:0.0626,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,remove_volume,monthly_expanding,base,146,680d6e90e20b5228,0.5,1.2840846575323805,sma_5:0.1169|week_of_year:0.0903|volatility_200:0.0871|open:0.0792|volatility_10:0.0683|volatility_200:0.1004|week_of_year:0.0865|volatility_100_research:0.0737|momentum_100_research:0.0728|trend_visual_ichimoku_b:0.0684,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,remove_lagged_returns,monthly_expanding,base,156,59583af45b29711a,0.5,1.2840846575323805,trend_ema_fast:0.1451|low:0.0877|week_of_year:0.0844|volatility_10_research:0.0768|volume_sma_em:0.0708|volume_nvi:0.1014|momentum_100_research:0.0763|volatility_10:0.0693|volume_sma_em:0.0683|volume_adi:0.0657,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,XGBoost,noisy_full,monthly_expanding,base,168,2338a5a4d6efca09,0.5,1.2840846575323805,week_of_year:0.0829|volume_sma_100:0.0742|quarter:0.0674|ema_200:0.0658|volume_sma_10:0.0649|volatility_dcm:0.0756|trend_ema_fast:0.0753|volume_adi:0.0663|volume_sma_100:0.0636|volume_nvi:0.0618,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,CatBoost,full,weekly_expanding,base,168,2338a5a4d6efca09,0.4,0.004426861108854485,momentum_100_research:19.3122|volume_sma_200:13.9419|ema_100:11.9885|volatility_100:11.6566|volatility_dch:10.3174|volume_vpt:25.1204|ema_10:17.7825|trend_visual_ichimoku_b:14.2576|volume_obv:8.1380|trend_macd_signal:7.6918,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,CatBoost,full,monthly_expanding,base,168,2338a5a4d6efca09,0.5,1.2840846575323805,volume_sma_200:13.3766|sma_200:13.3337|low:12.0706|sma_200_research:11.3386|close_lag_2:8.5397|volatility_100:19.8577|trend_visual_ichimoku_b:16.7107|ema_20:12.5839|year:7.2757|momentum_200_research:7.1194,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,CatBoost,full,quarterly_expanding,base,168,2338a5a4d6efca09,0.30597014925373134,-0.36202215074362887,volatility_100_research:29.9658|close_lag_20:14.3613|quarter:8.3431|volatility_dcm:7.0437|volatility_10:6.1216|volatility_100:21.1835|volatility_bbh:18.2543|trend_ema_slow:9.5073|volatility_20:8.8484|ema_200:6.9365,not_run_dependency_unavailable
